Depmap ID,Expression Public 22Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000799,1.350497247,HS695T,Melanoma,Skin,Melanoma
ACH-000800,1.704871964,NCIH446,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000801,0.367371066,HS936T,Melanoma,Skin,Melanoma
ACH-000802,0.014355293,BFTC905,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000803,1.063502942,COLO668,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000804,3.857980995,NB1,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000805,2.687060688,COLO679,Melanoma,Skin,Melanoma
ACH-000806,0,L540,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000807,1.077242999,SNU738,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000808,2.675815931,HUH28,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000809,0.014355293,KYSE410,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000810,4.084064265,SKMEL30,Melanoma,Skin,Melanoma
ACH-000811,0.163498732,SKOV3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000812,3.622930351,COLO783,Melanoma,Skin,Melanoma
ACH-000813,0.014355293,T3M10,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000814,1.847996907,HS939T,Melanoma,Skin,Melanoma
ACH-000815,0.028569152,KMH2,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000816,2,NCIH524,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000817,0,RPMI8226,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000818,0,BT483,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000819,0.773996325,LN18,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000820,0.014355293,SW403,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000821,0,EJM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000822,0.695993813,SKMEL24,Melanoma,Skin,Melanoma
ACH-000823,0.042644337,KYSE140,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000824,0,KYSE510,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000825,0,HOP92,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000826,0.014355293,CAL12T,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000827,0.014355293,WM793,Melanoma,Skin,Melanoma
ACH-000828,0.028569152,ZR7530,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000829,0.056583528,HUNS1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000830,1.304511042,NCIH1436,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000831,0.214124805,HEC50B,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000832,0.014355293,CAL27,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000833,0.201633861,RH30,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000834,0.014355293,UMUC1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000835,0.084064265,GCT,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-000836,0.014355293,YD15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000837,0.163498732,NCIH322,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000838,0,AMO1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000839,0.124328135,SCABER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma
ACH-000840,0.757023247,HCC366,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000841,1.859969548,NCIH2087,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000842,0.056583528,SW480,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000843,0.250961574,HARA,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000844,1.321928095,DMS454,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000845,0.014355293,NCIH1373,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000846,0.084064265,FADU,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000247,0,OCUM1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000848,0.056583528,JHH7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000849,0.321928095,MDAMB468,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000850,0.163498732,HS698T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000851,0.189033824,MORCPR,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000852,0,NCIH1435,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000853,0.214124805,NCIH661,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000854,0,OCIMY5,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000855,0,KYSE150,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000856,0.807354922,CAL51,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000857,0.042644337,CAL851,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000858,0.22650853,KNS62,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000859,0.201633861,HCC1954,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000860,0.831877241,NCIH358,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000861,0.042644337,HOP62,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000862,0,KMBC2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000863,0.807354922,DBTRG05MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000864,1.269033146,COLO684,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000865,0.042644337,KYSE450,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000866,0.23878686,NCIH1048,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000867,0.028569152,CHAGOK1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000868,0.5360529,HCC1195,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000869,0.014355293,NCIH1568,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000870,1.411426246,NCIH1930,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000871,1.682573297,NCIH510,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000872,0.070389328,HCC515,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000873,0.669026766,KYSE270,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000874,0,RS411,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000875,0.298658316,NCIH2347,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000876,0.432959407,MDAMB415,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000877,0.042644337,EB1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000878,0.40053793,HCC15,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000879,0.731183242,MFE296,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000383,0.042644337,OE33,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000881,2.280956314,MELJUSO,Melanoma,Skin,Melanoma
ACH-000882,3.333423734,IGR1,Melanoma,Skin,Melanoma
ACH-000883,0.344828497,SW1783,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000884,2.319039816,MDAMB435S,Melanoma,Skin,Melanoma
ACH-000885,0.275007047,TOV21G,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000886,1.077242999,NCIH2009,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000887,0,SF172,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000888,2.462052319,NCIH1793,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000889,0,KMM1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000890,0.782408565,SW1271,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000891,1.659924558,HCC1438,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000892,2.3950628,NCIH1563,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000893,0.918386234,NCIH1651,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000894,0.201633861,NCIH1869,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000895,0.275007047,CL34,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000896,0.163498732,647V,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000897,0.042644337,FTC238,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000144,3.47118746,RERFGC1B,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000899,2.472487771,WM88,Melanoma,Skin,Melanoma
ACH-000900,0.111031312,NCIH23,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000901,1.316145742,HCC1359,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000902,0.176322773,CAL148,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000903,3.349082146,FTC133,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000904,0.454175893,NCIH2106,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000905,0.622930351,5637,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000906,0.613531653,ES2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000907,0.604071324,SNU349,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000764,0.150559677,SH10TC,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000909,1.914564523,JHUEM2,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000910,0,MDAMB453,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-001653,1.063502942,SKGT2,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000912,0,NCIH2286,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000913,0.23878686,ESS1,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000914,0,HT,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000915,2.66448284,IPC298,Melanoma,Skin,Melanoma
ACH-000916,0.298658316,NCIH1573,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000917,0.014355293,TE4,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000918,0.367371066,MOLT16,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-001654,1.137503524,SKGT4,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000920,0.124328135,CMLT1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000921,0,NCIH157DM,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000922,0.389566812,RCHACV,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000923,0.150559677,BCP1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000924,0.042644337,NCIH2172,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000925,0.310340121,DV90,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000926,0,HT55,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000927,0.070389328,BT474,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000928,0.014355293,JHUEM1,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000929,0,NCIH2110,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000930,1.195347598,HCC1569,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000931,1.575312331,HMCB,Melanoma,Skin,Melanoma
ACH-000932,0,SNU1,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000933,0,SNU324,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000934,0.632268215,MDAMB361,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000935,0.604071324,MDST8,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000936,0.948600847,EFO27,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000937,0.097610797,PF382,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000938,0,NALM6,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000939,0.321928095,SKUT1,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000940,0.042644337,AN3CA,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000941,1.66448284,HEC1B,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000942,0.321928095,HPBALL,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000943,0,RKO,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000944,0.028569152,NAMALWA,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000945,0.111031312,NCIH650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000946,0,HEC265,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000947,0.263034406,OVK18,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000581,0,SNU16,Stomach Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000466,0.163498732,SNU216,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000950,0.163498732,LOVO,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000951,0.150559677,NCIH2342,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000952,0,MDAPCA2B,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000953,0,SUPT1,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000954,0.831877241,HEC1A,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000955,0.275007047,SNU407,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000956,0.22650853,22RV1,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000957,1.704871964,LS180,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000958,0,SW48,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000959,0,SNUC4,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000960,0.757023247,REH,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000961,1.944858446,ISHIKAWAHERAKLIO02ER,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000962,1.604071324,OC314,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000963,0.014355293,CCK81,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000964,0,MOLT3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000965,0.014355293,RL952,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000966,0.422233001,IGROV1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000967,0.275007047,SNUC2A,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000968,1.691534165,COLO792,Melanoma,Skin,Melanoma
ACH-000969,0.042644337,KM12,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000970,0.014355293,SNUC5,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000971,0.722466024,HCT116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000972,0,HEC151,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000973,0.097610797,639V,Urethral Cancer,Bladder/Urinary Tract,Urethral Cancer
ACH-000974,0,SNGM,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000975,0.137503524,HCC2450,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000976,0,HUCCT1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000977,0,LNCAPCLONEFGC,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000978,1.021479727,EN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000980,0.704871964,NCIH1155,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000981,0.014355293,DND41,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000982,0.695993813,GP2D,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000983,2.528571319,KCL22,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000984,0,HEC6,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000985,0,LS411N,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000986,0,HT115,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000987,2.485426827,MEWO,Melanoma,Skin,Melanoma
ACH-000988,0.59454855,MFE319,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000989,0.124328135,SNU175,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000990,0,HEC108,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000991,0,SNU81,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000993,0,JHUEM7,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000994,0.214124805,HEC59,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000995,0,JURKAT,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000996,0,HEC251,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000997,0.545968369,HCT15,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000998,0,CW2,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000999,0.443606651,SNU1040,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-001001,1.739848103,143B,Osteosarcoma,Bone,Osteosarcoma
ACH-001016,1.321928095,BECKER,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-001020,0,BT16,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001022,4.458119481,CBAGPN,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-001028,0.250961574,CHLA06ATRT,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001029,0.298658316,CHLA10,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-001030,0.310340121,CHLA218,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-001031,0,CHLA266,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001032,1.847996907,CHLA32,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-001033,0.176322773,CHLA57,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001034,1.952333566,CHLA9,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-001035,1.646162657,CHLA99,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-001036,0.704871964,CMK115,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-001038,0.35614381,COGE352,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001041,1.691534165,CHL1DM,Melanoma,Skin,Melanoma
ACH-001048,0.641546029,COV504,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-001050,0,CW9019,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-001053,3.49441561,D425,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001054,3.998195503,D458,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001057,0.014355293,DERL2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-001059,0,DL,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001060,0.097610797,DL40,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-001061,0.124328135,DLD1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-001067,0.014355293,F5,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-001068,0,FEPD,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-001075,0.042644337,NCIH292,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-001086,0,HELA,Cervical Adenocarcinoma,Cervix,Cervical Adenocarcinoma
ACH-001096,1.627606838,JR,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-001097,0,KARPAS384,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-001098,0.731183242,KCIMOH1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-001099,0,KD,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001100,0,KHYG1,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-001106,0.097610797,KOPN8,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-001109,0.111031312,KPMRTRY,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-001111,1.097610797,L82,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-001113,0.263034406,LC1SQSF,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-001119,0,MAC2A,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-001128,0,MON,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001129,0,MONOMAC1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-001132,0.014355293,MTA,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-001134,0,MYLA,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-001142,0.641546029,NHAHTDD,Non-Cancerous,CNS/Brain,Non-Cancerous
ACH-001145,1.933572638,OC316,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-001147,0.650764559,OCILY12,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-001148,0.014355293,OCILY132,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-001151,1.286881148,OVCAR5,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-001163,0,CCLFPEDS0001T,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-001164,0.722466024,CCLFPEDS0003T,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-001172,0.286881148,U251MGDM,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-001183,0,RT11284,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-001184,0.82374936,SCMCRM2,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-001188,2.464668267,SHSY5Y,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-001190,1.09085343,SKMEL2,Melanoma,Skin,Melanoma
ACH-001192,1.201633861,SKNEP1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-001193,1.632268215,SKPNDW,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001194,0.526068812,SKRC31,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-001196,2.765534746,SMSCTR,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-001197,0,SMZ1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-001200,0,STM9101,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-001201,1.627606838,SUMB002,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-001207,0.895302621,TIG3TD,Non-Cancerous,Fibroblast,Non-Cancerous
